answer,question,serial_id,id
使用非常用文字能有效提高核名通过率。如果名称由“ABC”组成，则“AB”与“BC”组合需同时满足不重名的条件下，“ABC”方能定义为不重名。公司类型需与营业范围匹配。,怎样设计企业名称，更容易通过核名？,SHSHIC0010,1
1、有损于国家、社会公共利益的2、“中国”、“中华”、“全国”、“国家”、“国际”字词，县级以上行政区划不得用作字号3、可能对公众造成欺骗或者误解的4、外国国家(地区)名称、国际组织名称5、党名称、党政军机关名称、群众组织名称、社团组织名称及其简称、部队番号6、 违反社会公序良俗，不尊重民族、宗教习俗的6、汉语拼音、字母、外国文字、标点符号7、不符合国家规范的语言文字8、法律、法规规定禁止的其他内容和文字。,哪些名字不能作为公司名字？,SHSHIC0010,2
可以。,自然人的姓名可否用于公司字名字？,SHSHIC0010,3
1、公司法定代表人签署的《公司变更登记申请书》（公司加盖公章）2、公司签署的《公司（企业）法定代表人登记表》（公司加盖公章）；3、《指定代表或者共同委托代理人的证明》（公司加盖公章）及指定代表或委托代理人身份证复印件（本人签字），应标明具体委托事项、被委托人的权限、委托期限；4、根据公司章程规定和程序提交原任法定代表人的免职证明、新任法定代表人的任职证明； 说明：有限责任公司提交股东会决议、董事会决议或者其他任免文件，股东会决议由全体股东签署（应当符合公司章程规定的表决方式，股东为自然人的由本人签字，自然人以外的股东加盖公章），董事会决议由公司董事签字；股份有限公司提交董事会决议或其他任免文件。董事会决议由公司董事签字；国有独资有限责任公司提交出资人或其授权部门的书面决定（加盖公章）、董事会决议（董事签字）或其他相关材料；一人有限责任公司提交股东的书面决定（股东为自然人的由本人签字，法人股东加盖公章）、董事会决议（由董事签字）或其他相关材料；5、法律、行政法规和国务院决定规定变更公司法定代表人必须报经批准的，提交有关部门的批准文件或者许可证书复印件；6、公司营业执照正、副本； 说明： 公司法定代表人姓名变更涉及公司董事调整的应按《公司董事、监事、经理备案提交材料规范》提交相应的备案材料，相同项目材料可以合并；,内资公司的法人变更需要准备哪些变更材料？,SHSHIC0010,4
1、股东的出资方式符合法律、法规的规定；2、增加注册资本采取分期缴付的，原实缴资本应与原注册资本一致，且本次增资首期出资不得少于注册资本增加额的20%，其余出资应在本次增资核准之日起两年内缴付；3、非货币出资的财产权转移的方式、期限符合《公司法》和公司章程的规定；4、以实物、土地出资的须经具有法定资格的评估机构评估作价；5、高新技术企业以高新技术成果作价出资的须经具有法定资格的评估机构评估作价，或者经股东共同对该出资作价作出担保；6、公司减少后的注册资本总额不低于法定的最低限额；7、公司在报纸上登载公司减少注册资本公告，且距公告时间满45日；8、编制资产负债表和财产清单；9、公司清偿债务或者提供相应的担保。,内资公司注册资本变更登记的行政审批条件是怎样的？,SHSHIC0010,5
“三证合一”是指注册公司时，原先需要办理的工商营业执照、组织机构代码证、税务登记证三证合为一证。老营业执照需要更换为新营业执照。,什么是“三证合一“？,SHSHIC0010,6
三证合一后，银行、工商、税务处老执照会逐步停止使用。为避免不必要的麻烦，建议尽早更快。,为什么要换新营业执照？,SHSHIC0010,7
1、营业执照正、副本2、税务登记证正、副本3、组织机构代码证正、副本4、统计证正、副本5、公章6、法人身份证复印件,“三证合一”换照需要什么资料？,SHSHIC0010,8
公司股权转让的工商部分很简单，复杂的是税务部分。国家法律规定，因股权交易过程中产生的收益，需要缴纳20%的所得税。如果平价或低价转让，税务部门一般会要求公司做一份评估报告，那个也需要一定费用。,转让公司股权为什么会更麻烦呢？,SHSHIC0010,9
除了正常的工商变更之外，还需要：去银行变更基本户信息；去税务变更公司法人信息。,变更公司法人，需要注意什么？,SHSHIC0010,10
