serial_id,classification_code,classification_name,comment,cover,create_at,heat,is_hot,is_instant,min_member,name,per_price,process,product_state,purchase_number,rate,region_code,summary,t_what_need,t_what_obtain,unit,unit_price,update_at,version,what_need,what_obtain
AHHFFC0001,FC,财务服务,,product-FC0001-cover.jpg,11/2/2016 10:51:00,0,0,0,1,零申报代理记账,0.00,"[""票据收取"",""会计记账"",""严密审核"",""纳税申报""]",0,0,5,AHHF,专业会计为您提供税务、财务咨询 为您做账、报税。零申报为公司无经济业务发生 各项申报数据为零。,"[""各类费用单据"",""销售发票"",""采购发票"",""银行对账单及银行单据"",""工资单"",""成本结算单"",""AC证书及密码"",""会计报表"",""各类账薄"",""科目余额表"",""会计凭证"",""税务申报表""]","[""会计凭证"",""各类账薄"",""财务报表"",""税务申报表"",""所得税汇算清缴表"",""工商年度公示""]",月,98.00,11/2/2016 10:51:00,2,product-FC0001-what-need.png,product-FC0001-what-obtain.png
AHHFFC0002,FC,财务服务,,product-FC0002-cover.jpg,11/2/2016 10:51:00,0,0,0,1,小规模纳税人代理记账,0.00,"[""票据收取"",""会计记账"",""严密审核"",""纳税申报""]",0,0,5,AHHF,专业会计为您提供税务、财务咨询 为您做账、报税。小规模纳税人是指按照销售额定率缴纳增值税,"[""各类费用单据"",""销售发票"",""采购发票"",""银行对账单及银行单据"",""工资单"",""成本结算单"",""AC证书及密码"",""会计报表"",""各类账薄"",""科目余额表"",""会计凭证"",""税务申报表""]","[""会计凭证"",""各类账薄"",""财务报表"",""税务申报表"",""所得税汇算清缴表"",""工商年度公示""]",月,168.00,11/2/2016 10:51:00,2,product-FC0002-what-need.png,product-FC0002-what-obtain.png
AHHFFC0003,FC,财务服务,,product-FC0003-cover.jpg,11/2/2016 10:51:00,0,0,0,1,一般纳税人代理记账,0.00,"[""票据收取"",""会计记账"",""严密审核"",""纳税申报""]",0,0,5,AHHF,专业会计为您提供税务、财务咨询 为您做账、报税。,"[""各类费用单据"",""销售发票"",""采购发票"",""银行对账单及银行单据"",""工资单"",""成本结算单"",""AC证书及密码"",""会计报表"",""各类账薄"",""科目余额表"",""会计凭证"",""税务申报表""]","[""会计凭证"",""各类账薄"",""财务报表"",""税务申报表"",""所得税汇算清缴表"",""工商年度公示""]",月,268.00,11/2/2016 10:51:00,2,product-FC0003-what-need.png,product-FC0003-what-obtain.png
AHHFFC0004,FC,财务服务,,product-FC0004-cover.jpg,11/2/2016 10:51:00,0,0,1,1,银行基本户开户,0.00,"[""在线下单"",""材料准备"",""提交资料"",""开户完成""]",0,0,5,AHHF,,"[""各类费用单据"",""销售发票"",""采购发票"",""银行对账单及银行单据"",""工资单"",""成本结算单"",""AC证书及密码"",""会计报表"",""各类账薄"",""科目余额表"",""会计凭证"",""税务申报表""]","[""会计凭证"",""各类账薄"",""财务报表"",""税务申报表"",""所得税汇算清缴表"",""工商年度公示""]",个,200.00,11/2/2016 10:51:00,2,product-FC0004-what-need.png,product-FC0004-what-obtain.png
AHHFFC0005,FC,财务服务,,product-FC0005-cover.jpg,11/2/2016 10:51:00,0,0,1,1,银行一般户开户,0.00,"[""在线下单"",""材料准备"",""提交资料"",""开户完成""]",0,0,5,AHHF,,"[""各类费用单据"",""销售发票"",""采购发票"",""银行对账单及银行单据"",""工资单"",""成本结算单"",""AC证书及密码"",""会计报表"",""各类账薄"",""科目余额表"",""会计凭证"",""税务申报表""]","[""会计凭证"",""各类账薄"",""财务报表"",""税务申报表"",""所得税汇算清缴表"",""工商年度公示""]",个,200.00,11/2/2016 10:51:00,2,product-FC0005-what-need.png,product-FC0005-what-obtain.png
AHHFFC0006,FC,税务服务,,product-FC0006-cover.jpg,11/2/2016 10:51:00,0,0,1,1,税种核定 ,0.00,"[""在线下单"",""申请登记"",""税种核定"",""签订三方扣缴协议""]",0,0,5,AHHF,专业会计为您税务报道、核定税种 CA证书的购买 三方协议的签订,"[""税务登记证（或三证合一的营业执照）"",""公章"",""法人身份证"",""税种核定表"",""纳税三方扣缴协议"",""会计从业资格证"",""会计身份证""]","[""CA证书"",""税种核定"",""纳税三方扣缴协议""]",个,200.00,11/2/2016 10:51:00,2,product-FC0006-what-need.png,product-FC0006-what-obtain.png
AHHFFC0007,FC,税务服务,,product-FC0007-cover.jpg,11/2/2016 10:51:00,0,0,1,1,代领CA证书,0.00,"[""在线下单"",""材料准备"",""带领证书"",""服务完成""]",0,0,5,AHHF,,"[""税务登记证（或三证合一的营业执照）"",""公章"",""法人身份证"",""税种核定表"",""纳税三方扣缴协议"",""会计从业资格证"",""会计身份证""]","[""CA证书"",""税种核定"",""纳税三方扣缴协议""]",个,200.00,11/2/2016 10:51:00,2,product-FC0007-what-need.png,product-FC0007-what-obtain.png
AHHFFC0008,FC,税务服务,,product-FC0008-cover.jpg,11/2/2016 10:51:00,0,0,1,1,一般纳税人认定,0.00,"[""在线下单"",""申请登记"",""税务审批"",""一般纳税人认定通知书""]",0,0,5,AHHF,专业会计为您办理一般纳税人认定,"[""税务登记证（或三证合一的营业执照）"",""公章"",""法人身份证"",""税种核定表"",""纳税三方扣缴协议"",""会计从业资格证"",""会计身份证""]","[""CA证书"",""税种核定"",""纳税三方扣缴协议""]",个,200.00,11/2/2016 10:51:00,2,product-FC0008-what-need.png,product-FC0008-what-obtain.png
AHHFFC0009,FC,税务服务,,product-FC0009-cover.jpg,11/2/2016 10:51:00,0,0,1,1,税务登记信息变更,0.00,"[""在线下单"",""材料准备"",""提交资料"",""变更完成""]",0,0,5,AHHF,,"[""税务登记证（或三证合一的营业执照）"",""公章"",""法人身份证"",""税种核定表"",""纳税三方扣缴协议"",""会计从业资格证"",""会计身份证""]","[""CA证书"",""税种核定"",""纳税三方扣缴协议""]",个,200.00,11/2/2016 10:51:00,2,product-FC0009-what-need.png,product-FC0009-what-obtain.png
AHHFFC0010,FC,税务服务,,product-FC0010-cover.jpg,11/2/2016 10:51:00,0,0,0,1,代开发票服务,0.00,"[""在线下单"",""材料准备"",""代开发票"",""服务完成""]",0,0,5,AHHF,包含服务：发票开具、打印；发票领购、保管；每月抄税、清卡、打印开票汇总表；代寄发票（快递费自理）；600/年,"[""税务登记证（或三证合一的营业执照）"",""公章"",""法人身份证"",""一般纳税人申请表"",""会计从业资格证"",""会计身份证""]",[],月,50.00,11/2/2016 10:51:00,2,product-FC0010-what-need.png,product-FC0010-what-obtain.png
