province,name,district,id
BJBJ,北京,北京,东城区,1
BJBJ,北京,北京,西城区,2
BJBJ,北京,北京,崇文区,3
BJBJ,北京,北京,宣武区,4
BJBJ,北京,北京,朝阳区,5
BJBJ,北京,北京,丰台区,6
BJBJ,北京,北京,石景山区,7
BJBJ,北京,北京,海淀区,8
BJBJ,北京,北京,门头沟区,9
BJBJ,北京,北京,房山区,10
BJBJ,北京,北京,通州区,11
BJBJ,北京,北京,顺义区,12
BJBJ,北京,北京,昌平区,13
BJBJ,北京,北京,大兴区,14
BJBJ,北京,北京,怀柔区,15
BJBJ,北京,北京,平谷区,16
BJBJ,北京,北京,密云县,17
BJBJ,北京,北京,延庆县,18
SHSH,上海,上海,黄浦区,19
SHSH,上海,上海,卢湾区,20
SHSH,上海,上海,徐汇区,21
SHSH,上海,上海,长宁区,22
SHSH,上海,上海,静安区,23
SHSH,上海,上海,普陀区,24
SHSH,上海,上海,闸北区,25
SHSH,上海,上海,虹口区,26
SHSH,上海,上海,杨浦区,27
SHSH,上海,上海,闵行区,28
SHSH,上海,上海,宝山区,29
SHSH,上海,上海,嘉定区,30
SHSH,上海,上海,浦东新区,31
SHSH,上海,上海,金山区,32
SHSH,上海,上海,松江区,33
SHSH,上海,上海,青浦区,34
SHSH,上海,上海,南汇区,35
SHSH,上海,上海,奉贤区,36
SHSH,上海,上海,崇明县,37
SHSH,上海,上海,城桥镇,38
JSNJ,江苏,南京,玄武区,39
JSNJ,江苏,南京,白下区,40
JSNJ,江苏,南京,秦淮区,41
JSNJ,江苏,南京,建邺区,42
JSNJ,江苏,南京,鼓楼区,43
JSNJ,江苏,南京,下关区,44
JSNJ,江苏,南京,浦口区,45
JSNJ,江苏,南京,六合区,46
JSNJ,江苏,南京,栖霞区,47
JSNJ,江苏,南京,雨花台区,48
JSNJ,江苏,南京,江宁区,49
JSNJ,江苏,南京,溧水县,50
JSNJ,江苏,南京,永阳镇,51
JSNJ,江苏,南京,高淳县,52
JSNJ,江苏,南京,淳溪镇,53
JSSZ,江苏,苏州,金阊区,54
JSSZ,江苏,苏州,沧浪区,55
JSSZ,江苏,苏州,平江区,56
JSSZ,江苏,苏州,虎丘区,57
JSSZ,江苏,苏州,吴中区,58
JSSZ,江苏,苏州,相城区,59
JSSZ,江苏,苏州,吴江市,60
JSSZ,江苏,苏州,昆山市,61
JSSZ,江苏,苏州,太仓市,62
JSSZ,江苏,苏州,常熟市,63
JSSZ,江苏,苏州,张家港市,64
JSZJ,江苏,镇江,京口区,65
JSZJ,江苏,镇江,润州区,66
JSZJ,江苏,镇江,丹徒区,67
JSZJ,江苏,镇江,扬中市,68
JSZJ,江苏,镇江,丹阳市,69
JSZJ,江苏,镇江,句容市,70
GDSZ,广东,深圳,福田区,71
GDSZ,广东,深圳,罗湖区,72
GDSZ,广东,深圳,南山区,73
GDSZ,广东,深圳,宝安区,74
GDSZ,广东,深圳,龙岗区,75
GDSZ,广东,深圳,盐田区,76
SCCD,四川,成都,青羊区,77
SCCD,四川,成都,锦江区,78
SCCD,四川,成都,金牛区,79
SCCD,四川,成都,武侯区,80
SCCD,四川,成都,成华区,81
SCCD,四川,成都,龙泉驿区,82
SCCD,四川,成都,青白江区,83
SCCD,四川,成都,新都区,84
SCCD,四川,成都,温江区,85
SCCD,四川,成都,都江堰市,86
SCCD,四川,成都,彭州市,87
SCCD,四川,成都,邛崃市区,88
SCCD,四川,成都,崇州市,89
SCCD,四川,成都,金堂县,90
SCCD,四川,成都,赵镇,91
SCCD,四川,成都,双流县,92
SCCD,四川,成都,郫县,93
SCCD,四川,成都,郫筒镇,94
SCCD,四川,成都,大邑县,95
SCCD,四川,成都,晋原镇,96
SCCD,四川,成都,蒲江县,97
SCCD,四川,成都,鹤山镇,98
SCCD,四川,成都,新津县,99
